[30/01/2025 18:46:16,73]  
[30/01/2025 18:47:47,79]  
[30/01/2025 18:49:52,75] Iniciando backup do banco de dados. 
[30/01/2025 18:49:52,75] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[30/01/2025 18:49:52,75] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[30/01/2025 18:50:46,04] Iniciando backup do banco de dados. 
[30/01/2025 18:50:46,04] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[30/01/2025 18:50:46,04] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[31/01/2025 10:10:58,86] Iniciando backup do banco de dados. 
[31/01/2025 10:10:58,86] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[31/01/2025 10:10:58,86] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[31/01/2025 11:18:11,56] Iniciando backup do banco de dados. 
[31/01/2025 11:18:11,56] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[31/01/2025 11:18:11,56] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[01/02/2025  9:30:44,17] Iniciando backup do banco de dados. 
[01/02/2025  9:30:44,17] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[01/02/2025  9:30:44,17] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[01/02/2025 10:07:22,63] Iniciando backup do banco de dados. 
[01/02/2025 10:07:22,63] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[01/02/2025 10:07:22,63] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[01/02/2025 15:34:25,57] Iniciando backup do banco de dados. 
[01/02/2025 15:34:25,57] Backup realizado com sucesso em "G:\Meu Drive\Arquivos Escola PNNM\Meus projetos\GestaoEscolar1\backup_redeescola.sql". 
[01/02/2025 15:34:25,57] Backup copiado com sucesso para "H:\Meu Drive\NADIR_2024\Backup\backup_redeescola.sql". 
[01/02/2025 21:55:07,41] Iniciando backup do banco de dados. 
